Identifier	matchCounts
ENSG00000186092	0
ENSG00000279928	5
ENSG00000279457	503
ENSG00000278566	0
ENSG00000273547	0
ENSG00000228794	18
ENSG00000187634	39
ENSG00000188976	997
ENSG00000187961	380
ENSG00000187583	79
ENSG00000187642	0
ENSG00000188290	20
ENSG00000187608	142
ENSG00000188157	226
ENSG00000237330	0
ENSG00000131591	216
ENSG00000162571	2
ENSG00000186891	102
ENSG00000186827	46
ENSG00000078808	1390
ENSG00000176022	216
ENSG00000184163	17
ENSG00000160087	514
ENSG00000162572	134
ENSG00000131584	1241
ENSG00000169972	115
ENSG00000127054	1258
ENSG00000224051	171
ENSG00000169962	38
ENSG00000107404	483
ENSG00000162576	1
ENSG00000175756	411
ENSG00000221978	3295
ENSG00000224870	252
ENSG00000242485	520
ENSG00000235098	0
ENSG00000205116	0
ENSG00000179403	7
ENSG00000215915	16
ENSG00000160072	610
ENSG00000197785	277
ENSG00000205090	3
ENSG00000160075	1211
ENSG00000279244	0
ENSG00000228594	77
ENSG00000197530	751
ENSG00000189409	7
ENSG00000248333	935
ENSG00000189339	1664
ENSG00000008128	782
ENSG00000268575	991
ENSG00000215790	197
ENSG00000008130	579
ENSG00000078369	3377
ENSG00000169885	4
ENSG00000178821	3
ENSG00000142609	0
ENSG00000187730	0
ENSG00000067606	220
ENSG00000162585	543
ENSG00000157933	2135
ENSG00000116151	39
ENSG00000157916	1453
ENSG00000157911	169
ENSG00000149527	472
ENSG00000157881	413
ENSG00000197921	0
ENSG00000157873	3958
ENSG00000157870	363
ENSG00000142606	2
ENSG00000215912	75
ENSG00000169717	0
ENSG00000142611	5
ENSG00000130762	2
ENSG00000162591	363
ENSG00000158109	525
ENSG00000116213	645
ENSG00000078900	18
ENSG00000162592	0
ENSG00000235169	1
ENSG00000130764	584
ENSG00000116198	520
ENSG00000169598	246
ENSG00000198912	486
ENSG00000196581	0
ENSG00000131697	157
ENSG00000069424	4506
ENSG00000116254	9
ENSG00000116251	3449
ENSG00000158286	207
ENSG00000116237	450
ENSG00000173673	0
ENSG00000158292	22
ENSG00000097021	157
ENSG00000069812	2
ENSG00000187017	0
ENSG00000215788	2194
ENSG00000171680	172
ENSG00000162408	739
ENSG00000173662	0
ENSG00000204859	541
ENSG00000162413	1106
ENSG00000116273	159
ENSG00000041988	144
ENSG00000007923	650
ENSG00000171735	104
ENSG00000049245	525
ENSG00000049246	68
ENSG00000049247	0
ENSG00000049249	460
ENSG00000116288	1278
ENSG00000116285	23
ENSG00000162426	3
ENSG00000142599	638
ENSG00000074800	8055
ENSG00000131686	41
ENSG00000197241	0
